scientificName,redlistCategory
Pavetta lanceolata,Least Concern
Vachellia borleae,Least Concern
Trichocladus ellipticus,Least Concern
Vepris bremekampii,Least Concern
Thilachium africanum,Least Concern
Schotia brachypetala,Least Concern
Cadaba natalensis,Least Concern
Ficus ilicina,Least Concern
Chaetachme aristata,Least Concern
Maerua cafra,Least Concern
Rhamnus prinoides,Least Concern
Olea capensis,Least Concern
Cordia africana,Least Concern
Berchemia zeyheri,Least Concern
Balanites pedicellaris,Least Concern
Gymnosporia mossambicensis,Least Concern
Ficus burtt-davyi,Least Concern
Azima tetracantha,Least Concern
Calpurnia aurea,Least Concern
Dovyalis rhamnoides,Least Concern
Scolopia zeyheri,Least Concern
Maerua racemulosa,Least Concern
Ficus lutea,Least Concern
Ficus sur,Least Concern
Manilkara discolor,Least Concern
Itea rhamnoides,Least Concern
Ficus stuhlmannii,Least Concern
Maytenus peduncularis,Least Concern
Ekebergia pterophylla,Least Concern
Vachellia stuhlmannii,Least Concern
Vachellia davyi,Least Concern
Turraea floribunda,Least Concern
Vachellia luederitzii,Least Concern
Rhoicissus tridentata,Least Concern
Pterocelastrus galpinii,Least Concern
Xylotheca kraussiana,Least Concern
Senegalia burkei,Least Concern
Vangueria madagascariensis,Least Concern
Ficus cordata,Least Concern
Hypericum roeperianum,Least Concern
Buddleja auriculata,Least Concern
Solanum tettense,Least Concern
Cryptocarya woodii,Least Concern
Blighia unijugata,Least Concern
Alchornea hirtella,Least Concern
Dombeya cymosa,Least Concern
Euphorbia cupularis,Least Concern
Greyia radlkoferi,Least Concern
Euclea pseudebenus,Least Concern
Craibia zimmermannii,Least Concern
Rinorea angustifolia,Least Concern
Heteropyxis natalensis,Least Concern
Burchellia bubalina,Least Concern
Croton menyharthii,Least Concern
Cassinopsis ilicifolia,Least Concern
Dovyalis caffra,Least Concern
Morella pilulifera,Least Concern
Afrocanthium gilfillanii,Least Concern
Maclura africana,Least Concern
Kiggelaria africana,Least Concern
Montinia caryophyllacea,Least Concern
Ochna serrulata,Least Concern
Gymnosporia arenicola,Least Concern
Rhoicissus revoilii,Least Concern
Afrocanthium mundianum,Least Concern
Englerophytum natalense,Least Concern
Vepris natalensis,Least Concern
Syzygium gerrardii,Least Concern
Sesamothamnus lugardii,Least Concern
Ozoroa obovata,Least Concern
Vachellia robusta,Least Concern
Vachellia rehmanniana,Least Concern
Obetia tenax,Least Concern
Lycium bosciifolium,Least Concern
Halleria lucida,Least Concern
Galpinia transvaalica,Least Concern
Ficus abutilifolia,Least Concern
Psydrax locuples,Least Concern
Putterlickia verrucosa,Least Concern
Vachellia swazica,Least Concern
Adenolobus garipensis,Least Concern
Bersama tysoniana,Least Concern
Buddleja salviifolia,Least Concern
Calodendrum capense,Least Concern
Cephalanthus natalensis,Least Concern
Gymnosporia maranguensis,Least Concern
Gymnosporia buxifolia,Least Concern
Grewia flavescens,Least Concern
Gerrardina foliosa,Least Concern
Drypetes arguta,Least Concern
Dombeya pulchra,Least Concern
Dialium schlechteri,Least Concern
Cryptocarya transvaalensis,Least Concern
Coptosperma littorale,Least Concern
Clausena anisata,Least Concern
Cadaba aphylla,Least Concern
Alchornea laxiflora,Least Concern
Premna mooiensis,Least Concern
Pavetta revoluta,Least Concern
Pavetta cooperi,Least Concern
Psoralea wilmsii,Least Concern
Ormocarpum trichocarpum,Least Concern
Strychnos decussata,Least Concern
Rothmannia capensis,Least Concern
Rothmannia globosa,Least Concern
Schotia latifolia,Least Concern
Sterculia rogersii,Least Concern
Terminalia phanerophlebia,Least Concern
Buddleja saligna,Least Concern
Canthium ciliatum,Least Concern
Canthium inerme,Least Concern
Commiphora woodii,Least Concern
Kraussia floribunda,Least Concern
Hypericum revolutum,Least Concern
Homalium dentatum,Least Concern
Gymnosporia grandifolia,Least Concern
Grewia subspathulata,Least Concern
Grewia hexamita,Least Concern
Erythrina lysistemon,Least Concern
Dracaena aletriformis,Least Concern
Dalbergia obovata,Least Concern
Commiphora pyracanthoides,Least Concern
Catunaregam taylorii,Least Concern
Vachellia sieberiana,Least Concern
Pavetta gardeniifolia,Least Concern
Oxyanthus speciosus,Least Concern
Senegalia hereroensis,Least Concern
Grewia flava,Least Concern
Bauhinia galpinii,Least Concern
Erythrina caffra,Least Concern
Tabernaemontana ventricosa,Least Concern
Vepris gerrardii,Least Concern
Trimeria grandifolia,Least Concern
Vepris reflexa,Least Concern
Vitex rehmannii,Least Concern
Xymalos monospora,Least Concern
Carissa bispinosa,Least Concern
Albizia anthelmintica,Least Concern
Euphorbia guerichiana,Least Concern
Gymnosporia heterophylla,Least Concern
Hyperacanthus amoenus,Least Concern
Karomia speciosa,Least Concern
Maytenus procumbens,Least Concern
Nymania capensis,Least Concern
Commiphora tenuipetiolata,Least Concern
Commiphora harveyi,Least Concern
Clutia abyssinica,Least Concern
Pavetta inandensis,Least Concern
Neocussonia umbellifera,Least Concern
Solanum giganteum,Least Concern
Commiphora angolensis,Least Concern
Erythrina humeana,Least Concern
Grewia monticola,Least Concern
Gymnosporia glaucophylla,Least Concern
Kirkia wilmsii,Least Concern
Neocussonia litoralis,Vulnerable
Viburnum mullaha,Least Concern
Xylosma controversa,Least Concern
Gamblea ciliata,Least Concern
Litsea rotundifolia,Least Concern
Lithocarpus litseifolius,Least Concern
Sideroxylon wightianum,Least Concern
Lindera metcalfiana,Least Concern
Cornus hongkongensis,Least Concern
Itoa orientalis,Least Concern
Photinia prunifolia,Least Concern
Triadica rotundifolia,Least Concern
Phoebe sheareri,Least Concern
Vachellia leucophloea,Least Concern
Zanthoxylum myriacanthum,Least Concern
Mallotus apelta,Least Concern
Itea indochinensis,Least Concern
Photinia benthamiana,Least Concern
Clerodendrum bungei,Least Concern
Lindera thomsonii,Least Concern
Luculia pinceana,Least Concern
Vaccinium dunalianum,Least Concern
Lindera nacusua,Least Concern
Ligustrum confusum,Least Concern
Gaultheria griffithiana,Least Concern
Neillia thyrsiflora,Least Concern
Aucuba himalaica,Least Concern
Enkianthus deflexus,Least Concern
Garcinia dulcis,Least Concern
Lyonia villosa,Least Concern
Mallotus nepalensis,Least Concern
Rhododendron decorum,Least Concern
Sophora prazeri,Least Concern
Sorbus coronata,Least Concern
Vaccinium bancanum,Least Concern
Sorbus rehderiana,Least Concern
Sorbus rufopilosa,Least Concern
Vaccinium pubicalyx,Least Concern
Myrsine benthamiana,Least Concern
Eremophila longifolia,Least Concern
Vavaea amicorum,Least Concern
Sersalisia sericea,Least Concern
Planchonella arnhemica,Least Concern
Ziziphus quadrilocularis,Least Concern
Myrsine pedicellata,Least Concern
Melaleuca leucadendra,Data Deficient
Lithomyrtus retusa,Data Deficient
Alstonia actinophylla,Least Concern
Ehretia saligna,Least Concern
Margaritaria dubium-traceyi,Least Concern
Cochlospermum gillivraei,Least Concern
Triflorensia australis,Least Concern
Gardenia dacryoides,Least Concern
Melaleuca lasiandra,Data Deficient
Acacia elachantha,Least Concern
Denhamia obscura,Least Concern
Lophostemon lactifluus,Data Deficient
Melaleuca argentea,Data Deficient
Vachellia pachyphloia,Least Concern
Verticordia cunninghamii,Data Deficient
Verticordia verticillata,Data Deficient
Terminalia platyptera,Least Concern
Terminalia latipes,Least Concern
Sesbania formosa,Least Concern
Terminalia canescens,Least Concern
Acacia scopulorum,Least Concern
Acacia acradenia,Least Concern
Acacia strongylophylla,Least Concern
Acacia simsii,Least Concern
Acacia pellita,Least Concern
Acacia mimula,Least Concern
Acacia minyura,Least Concern
Cupaniopsis anacardioides,Least Concern
Gardenia faucicola,Least Concern
Cochlospermum fraseri,Least Concern
Ficus subpuberula,Least Concern
Acacia praelongata,Least Concern
Croton arnhemicus,Least Concern
Melaleuca glomerata,Data Deficient
Acacia alleniana,Least Concern
Acacia stipuligera,Least Concern
Acacia dunnii,Least Concern
Ficus platypoda,Least Concern
Capparis umbonata,Least Concern
Cryptocarya cunninghamii,Least Concern
Lophostemon grandiflorus,Data Deficient
Calytrix exstipulata,Data Deficient
Rhodamnia australis,Data Deficient
Gardenia pyriformis,Least Concern
Cassine melanocarpa,Least Concern
Capparis mitchellii,Least Concern
Acacia murrayana,Least Concern
Senna costata,Least Concern
Terminalia microcarpa,Least Concern
Alphitonia oblata,Least Concern
Acacia hemignosta,Least Concern
Dolichandrone filiformis,Least Concern
Wrightia saligna,Least Concern
Ficus scobina,Least Concern
Ficus congesta,Least Concern
Owenia reticulata,Least Concern
Gardenia schwarzii,Least Concern
Melaleuca dealbata,Data Deficient
Melaleuca citrolens,Data Deficient
Buchanania obovata,Least Concern
Gardenia fucata,Least Concern
Sterculia holtzei,Least Concern
Vachellia ditricha,Least Concern
Allosyncarpia ternata,Data Deficient
Psydrax latifolia,Least Concern
Dolichandrone heterophylla,Least Concern
Acacia leptocarpa,Least Concern
Acacia plectocarpa,Least Concern
Acacia gonocarpa,Least Concern
Acacia monticola,Least Concern
Xanthostemon psidioides,Data Deficient
Acacia mountfordiae,Least Concern
Melaleuca sericea,Data Deficient
Miliusa brahei,Least Concern
Capparis loranthifolia,Least Concern
Auranticarpa melanosperma,Least Concern
Diospyros rugosula,Least Concern
Ventilago viminalis,Least Concern
Lithomyrtus cordata,Data Deficient
Alphitonia pomaderroides,Least Concern
Cyclophyllum schultzii,Least Concern
Ficus atricha,Least Concern
Brachychiton tuberculatus,Least Concern
Acacia neurocarpa,Least Concern
Acacia ancistrocarpa,Least Concern
Terminalia fitzgeraldii,Least Concern
Premna acuminata,Least Concern
Psydrax ammophila,Least Concern
Terminalia arostrata,Least Concern
Terminalia grandiflora,Least Concern
Vitex acuminata,Least Concern
Vachellia pallidifolia,Least Concern
Ficus brachypoda,Least Concern
Albizia canescens,Least Concern
Acacia convallium,Least Concern
Acacia cambagei,Least Concern
Acacia brachystachya,Least Concern
Clerodendrum tomentosum,Least Concern
Ficus coronulata,Least Concern
Cryptocarya exfoliata,Least Concern
Brachychiton spectabilis,Least Concern
Brachychiton diversifolius,Least Concern
Atalaya hemiglauca,Least Concern
Acacia ramulosa,Least Concern
Acacia ligulata,Least Concern
Acacia oncinocarpa,Least Concern
Brachychiton megaphyllus,Least Concern
Brachychiton paradoxus,Least Concern
Calytrix achaeta,Data Deficient
Ceriops pseudodecandra,Least Concern
Claoxylon hillii,Least Concern
Denhamia ferdinandi,Least Concern
Gardenia ewartii,Least Concern
Gardenia megasperma,Least Concern
Mallotus nesophilus,Least Concern
Alectryon oleifolius,Least Concern
Adansonia gregorii,Least Concern
Glycosmis macrophylla,Least Concern
Syzygium minutuliflorum,Data Deficient
Acacia cuthbertsonii,Least Concern
Acacia gonoclada,Least Concern
Acacia jasperensis,Least Concern
Acacia lamprocarpa,Least Concern
Acacia cowleana,Least Concern
Tarenna dallachiana,Least Concern
Acacia adsurgens,Least Concern
Pavetta muelleri,Least Concern
Melaleuca bracteata,Data Deficient
Gardenia resinosa,Least Concern
Croton habrophyllus,Least Concern
Atalaya variifolia,Least Concern
Acacia tetragonophylla,Least Concern
Acacia pruinocarpa,Least Concern
Petalostigma banksii,Least Concern
Psydrax pendulina,Least Concern
Acacia ayersiana,Least Concern
Acacia platycarpa,Least Concern
Dodonaea platyptera,Least Concern
Gyrostemon ramulosus,Least Concern
Acacia aptaneura,Least Concern
Acacia salicina,Least Concern
Acacia difficilis,Least Concern
Acacia paraneura,Least Concern
Acacia sibirica,Least Concern
Excoecaria parvifolia,Least Concern
Petalostigma quadriloculare,Least Concern
Psychotria nesophila,Least Concern
Psydrax saligna,Least Concern
Syzygium eucalyptoides,Data Deficient
Tarenna pentamera,Least Concern
Terminalia platyphylla,Least Concern
Xanthostemon eucalyptoides,Data Deficient
Allocasuarina decaisneana,Least Concern
Acacia inaequilatera,Least Concern
Leptospermum madidum,Data Deficient
Owenia vernicosa,Least Concern
Drypetes deplanchei,Least Concern
Acacia pachyacra,Least Concern
Acacia orthocarpa,Least Concern
Syzygium armstrongii,Data Deficient
Grewia breviflora,Least Concern
Acacia jensenii,Least Concern
Codonocarpus cotinifolius,Least Concern
Acacia kempeana,Least Concern
Erythrophleum chlorostachys,Least Concern
Melaleuca minutifolia,Data Deficient
Melaleuca stenostachya,Data Deficient
Owenia acidula,Least Concern
Acacia estrophiolata,Least Concern
Acacia hammondii,Least Concern
Acacia hemsleyi,Least Concern
Acacia lacertensis,Least Concern
Acacia latescens,Least Concern
Acacia thomsonii,Least Concern
Acacia tropica,Least Concern
Xanthostemon umbrosus,Data Deficient
Acacia latifolia,Least Concern
Xanthostemon paradoxus,Data Deficient
Syzygium angophoroides,Data Deficient
Acacia calcicola,Least Concern
Acacia conspersa,Least Concern
Acacia multisiliqua,Least Concern
Acacia ampliceps,Least Concern
Aiouea alainii,Endangered
Aiouea pachypoda,Least Concern
Aiouea amoena,Least Concern
Aiouea amplexicaulis,Vulnerable
Aiouea breedlovei,Endangered
Aiouea bractefoliacea,Vulnerable
Aiouea chiapensis,Vulnerable
Aiouea elegans,Critically Endangered
Aiouea effusa,Least Concern
Persea filipes,Data Deficient
Aiouea floccosa,Critically Endangered
Aiouea montana,Least Concern
Aiouea glossophylla,Endangered
Aiouea grisebachii,Least Concern
Aiouea heteranthera,Data Deficient
Aiouea kruseana,Critically Endangered
Aiouea leptophylla,Critically Endangered
Aiouea longipes,Endangered
Aiouea napoensis,Least Concern
Aiouea padiformis,Least Concern
Aiouea palaciosii,Critically Endangered
Syndiclis kwangsiensis,Endangered
Damburneya ambigens,Least Concern
Damburneya coriacea,Least Concern
Damburneya longicaudata,Least Concern
Damburneya gentlei,Least Concern
Damburneya patens,Least Concern
Damburneya salicifolia,Least Concern
Ocotea erectifolia,Least Concern
Neocinnamomum fargesii,Least Concern
Phoebe mollis,Endangered
Brackenridgea nitida,Least Concern
Buchanania vitiensis,Vulnerable
Croton metallicus,Endangered
Homalium laurifolium,Endangered
Planchonella membranacea,Data Deficient
Meiogyne laddiana,Least Concern
Psychotria volii,Critically Endangered
Syzygium grayi,Least Concern
Neonauclea calycina,Least Concern
Clerodendrum japonicum,Least Concern
Elaeagnus conferta,Least Concern
Triadica cochinchinensis,Least Concern
Terminalia amazonia,Least Concern
Hieronyma alchorneoides,Least Concern
Simarouba amara,Least Concern
Cosmocalyx spectabilis,Vulnerable
Acaciella angustissima,Least Concern
Micropholis melinoniana,Least Concern
Pouzolzia obliqua,Least Concern
Ronabea latifolia,Least Concern
Vochysia guatemalensis,Least Concern
Terminalia oblonga,Least Concern
Coccoloba belizensis,Least Concern
Lysiloma auritum,Least Concern
Cojoba graciliflora,Least Concern
Chionanthus oblanceolatus,Least Concern
Cordia bicolor,Least Concern
Miconia chrysophylla,Least Concern
Ardisia paschalis,Least Concern
Buxus bartlettii,Least Concern
Adelia barbinervis,Least Concern
Miconia poeppigii,Least Concern
Cynometra retusa,Least Concern
Myriocarpa heterospicata,Least Concern
Zanthoxylum riedelianum,Least Concern
Tabernaemontana donnell-smithii,Least Concern
Calliandra houstoniana,Least Concern
Tournefortia acutiflora,Least Concern
Stylogyne turbacensis,Least Concern
Croton arboreus,Least Concern
Coccoloba barbadensis,Least Concern
Miconia desmantha,Least Concern
Neomirandea araliifolia,Least Concern
Protium multiramiflorum,Vulnerable
Piper grande,Least Concern
Ficus popenoei,Least Concern
Eugenia tikalana,Least Concern
Cascabela gaumeri,Least Concern
Gymnopodium floribundum,Least Concern
Miconia ampla,Least Concern
Leptolobium panamense,Least Concern
Zygia peckii,Least Concern
Lycianthes synanthera,Least Concern
Palicourea tetragona,Least Concern
Critonia daleoides,Least Concern
Desmopsis schippii,Least Concern
Ficus yoponensis,Least Concern
Psidium friedrichsthalianum,Least Concern
Bauhinia pauletia,Least Concern
Lysiloma divaricatum,Least Concern
Licaria peckii,Least Concern
Eugenia venezuelensis,Least Concern
Coccoloba humboldtii,Least Concern
Coccoloba hondurensis,Least Concern
Cnidoscolus aconitifolius,Least Concern
Clusia stenophylla,Least Concern
Clusia massoniana,Least Concern
Clidemia septuplinervia,Least Concern
Lonchocarpus luteomaculatus,Least Concern
Machaerium kegelii,Least Concern
Lecointea amazonica,Least Concern
Chionanthus panamensis,Least Concern
Combretum cacoucia,Least Concern
Psychotria mexiae,Least Concern
Miconia centrodesma,Least Concern
Mosannona depressa,Least Concern
Mosquitoxylum jamaicense,Least Concern
Ardisia guianensis,Least Concern
Ardisia nigrescens,Least Concern
Deherainia smaragdina,Vulnerable
Appunia guatemalensis,Least Concern
Amanoa guianensis,Least Concern
Acaciella villosa,Least Concern
Tournefortia angustiflora,Least Concern
Solanum lepidotum,Least Concern
Senna undulata,Least Concern
Senna hayesiana,Least Concern
Senegalia polyphylla,Least Concern
Mouriri exilis,Least Concern
Morinda panamensis,Least Concern
Miconia smaragdina,Least Concern
Miconia lateriflora,Least Concern
Miconia holosericea,Least Concern
Jacaranda copaia,Least Concern
Eugenia gaumeri,Least Concern
Cynophalla verrucosa,Least Concern
Solanum rovirosanum,Least Concern
Cestrum racemosum,Least Concern
Lindackeria laurina,Least Concern
Machaerium seemannii,Least Concern
Malouetia guatemalensis,Least Concern
Wigandia urens,Least Concern
Piper pseudofuligineum,Least Concern
Handroanthus guayacan,Least Concern
Pouteria campechiana,Least Concern
Myriocarpa obovata,Least Concern
Byrsonima bucidifolia,Least Concern
Ardisia nigropunctata,Least Concern
Hiraea reclinata,Least Concern
Grias cauliflora,Least Concern
Ardisia pellucida,Least Concern
Polygala jamaicensis,Least Concern
Poulsenia armata,Least Concern
Brosimum guianense,Least Concern
Manilkara chicle,Least Concern
Manilkara staminodella,Least Concern
Xylosma oligandra,Least Concern
Dichapetalum donnell-smithii,Least Concern
Parathesis donnell-smithii,Least Concern
Allophylus camptostachys,Least Concern
Machaerium isadelphum,Least Concern
Piper villiramulum,Least Concern
Clibadium arboreum,Least Concern
Ficus turrialbana,Least Concern
Machaonia lindeniana,Least Concern
Marila laxiflora,Least Concern
Varronia spinescens,Least Concern
Dialium guianense,Least Concern
Blomia prisca,Least Concern
Miconia hyperprasina,Least Concern
Miconia hondurensis,Least Concern
Miconia stenostachya,Least Concern
Salacia impressifolia,Least Concern
Chiococca belizensis,Least Concern
Clidemia dentata,Least Concern
Compsoneura mexicana,Least Concern
Conostegia montana,Least Concern
Pachira aquatica,Least Concern
Piptocarpha poeppigiana,Least Concern
Pourouma bicolor,Least Concern
Miconia longifolia,Least Concern
Ampelocera hottlei,Least Concern
Chamaedorea neurochlamys,Least Concern
Bernoullia flammea,Least Concern
Jupunba idiopoda,Least Concern
Semialarium mexicanum,Least Concern
Ixora nicaraguensis,Least Concern
Iresine arbuscula,Least Concern
Handroanthus chrysanthus,Vulnerable
Eugenia trikii,Least Concern
Erythroxylum guatemalense,Least Concern
Elachyptera floribunda,Least Concern
Cupania rufescens,Least Concern
Besleria laxiflora,Least Concern
Trichilia moschata,Least Concern
Piper neesianum,Least Concern
Conostegia caelestis,Least Concern
Solanum cordovense,Least Concern
Callicarpa acuminata,Least Concern
Vaccinium poasanum,Least Concern
Tabernaemontana arborea,Least Concern
Rudgea cornifolia,Least Concern
Inga pinetorum,Least Concern
Mariosousa dolichostachya,Least Concern
Matayba clavelligera,Least Concern
Xylopia frutescens,Least Concern
Ottoschulzia pallida,Least Concern
Thevetia ahouai,Least Concern
Miconia gracilis,Least Concern
Miconia ciliata,Least Concern
Celtis schippii,Least Concern
Bauhinia ungulata,Least Concern
Annona squamosa,Least Concern
Schlegelia parviflora,Least Concern
Protium confusum,Least Concern
Miconia triplinervis,Least Concern
Miconia nutans,Least Concern
Machaonia acuminata,Least Concern
Machaerium biovulatum,Least Concern
Mabea nitida,Least Concern
Hampea stipitata,Least Concern
Tournefortiopsis crispiflora,Least Concern
Ficus paraensis,Least Concern
Erythroxylum macrophyllum,Least Concern
Drypetes brownii,Least Concern
Cordia diversifolia,Least Concern
Cnidoscolus tubulosus,Least Concern
Cleidion castaneifolium,Least Concern
Unonopsis pittieri,Least Concern
Neomillspaughia paniculata,Least Concern
Coccoloba cozumelensis,Least Concern
Coccoloba spicata,Least Concern
Coccoloba tuerckheimii,Least Concern
Piper schiedeanum,Least Concern
Sloanea laurifolia,Least Concern
Bellucia grossularioides,Least Concern
Cascabela thevetia,Least Concern
Calliandra coriacea,Least Concern
Bonellia macrocarpa,Least Concern
Bellucia pentamera,Least Concern
Acalypha macrostachya,Least Concern
Miconia reducens,Least Concern
Miconia paleacea,Least Concern
Guettarda gaumeri,Least Concern
Eugenia winzerlingii,Least Concern
Pouteria durlandii,Least Concern
Randia monantha,Least Concern
Miconia tococa,Least Concern
Wimmeria bartlettii,Least Concern
Miconia chamissois,Least Concern
Crotalaria cajanifolia,Least Concern
Volkameria ligustrina,Least Concern
Hiraea fagifolia,Least Concern
Chrysophyllum venezuelanense,Least Concern
Diospyros nigra,Least Concern
Blakea watsonii,Least Concern
Henriettea succosa,Least Concern
Virola multiflora,Least Concern
Cupania scrobiculata,Least Concern
Critonia morifolia,Least Concern
Neomillspaughia emarginata,Least Concern
Rinorea guatemalensis,Least Concern
Verbesina turbacensis,Least Concern
Solanum aturense,Least Concern
Pera arborea,Least Concern
Rinorea hummelii,Least Concern
Senegalia montis-usti,Least Concern
Cassipourea swaziensis,Least Concern
Erythrophysa transvaalensis,Least Concern
Warburgia salutaris,Vulnerable
Pachypodium namaquanum,Least Concern
Deinbollia nyasica,Critically Endangered
Pterocarpus brenanii,Least Concern
Entandrophragma caudatum,Least Concern
Vachellia permixta,Least Concern
Senegalia robynsiana,Least Concern
Dalbergia sambesiaca,Data Deficient
Combretum mkuzense,Near Threatened
Kirkia dewinteri,Vulnerable
Ozoroa namaquensis,Least Concern
Brachystegia bakeriana,Least Concern
Rawsonia burtt-davyi,Critically Endangered
Buxus nyasica,Endangered
Dombeya rotundifolia,Least Concern
Cyphostemma bainesii,Least Concern
Cyphostemma juttae,Least Concern
Adenia pechuelii,Least Concern
Allophylus decipiens,Least Concern
Balanites angolensis,Least Concern
Ozoroa benguellensis,Data Deficient
Ozoroa cinerea,Data Deficient
Heteromorpha stenophylla,Least Concern
Dracaena parviflora,Data Deficient
Commiphora antunesii,Least Concern
Commiphora buruxa,Endangered
Commiphora gariepensis,Least Concern
Commiphora kaokoensis,Least Concern
Commiphora karibensis,Least Concern
Commiphora kuneneana,Least Concern
Commiphora mulelame,Data Deficient
Commiphora steynii,Least Concern
Buxus benguellensis,Least Concern
Boscia polyantha,Least Concern
Euadenia brevipetala,Data Deficient
Elaeodendron matabelicum,Least Concern
Gymnosporia hemipterocarpa,Least Concern
Gymnosporia matoboensis,Least Concern
Combretum aureonitens,Near Threatened
Meiostemon tetrandrus,Least Concern
Terminalia erici-rosenii,Least Concern
Terminalia gazensis,Least Concern
Portulacaria carrissoana,Least Concern
Erica hexandra,Least Concern
Erythrococca zambesiaca,Vulnerable
Euphorbia atrocarmesina,Least Concern
Euphorbia conspicua,Least Concern
Euphorbia gracilicaulis,Least Concern
Euphorbia hiernii,Data Deficient
Euphorbia kirkii,Least Concern
Euphorbia syncameronii,Least Concern
Euphorbia teixeirae,Least Concern
Macaranga mellifera,Least Concern
Pycnocoma dentata,Least Concern
Aspalathus usnoides,Near Threatened
Philenoptera wankieensis,Least Concern
Psoralea gigantea,Near Threatened
Senegalia montis-salinarum,Endangered
Phyllocosmus congolensis,Least Concern
Karomia tettensis,Least Concern
Premna sulphurea,Data Deficient
Rotheca reflexa,Least Concern
Anisodontea julii,Least Concern
Grewia cyclopetala,Least Concern
Leptonychia youngii,Data Deficient
Sterculia dawei,Least Concern
Trichilia capitata,Least Concern
Eugenia tungo,Data Deficient
Olax gossweileri,Data Deficient
Jasminum brachyscyphum,Least Concern
Noronhia foveolata,Least Concern
Pandanus angolensis,Data Deficient
Pandanus gossweileri,Data Deficient
Pandanus welwitschii,Data Deficient
Olinia huillensis,Least Concern
Phyllanthus polyanthus,Least Concern
Pittosporum cacondense,Least Concern
Drypetes vilhenae,Data Deficient
Cassipourea gossweileri,Least Concern
Cassipourea nodosa,Data Deficient
Cassipourea vilhenae,Data Deficient
Dirichletia pubescens,Least Concern
Pavetta chapmanii,Vulnerable
Pavetta gossweileri,Endangered
Psychotria catetensis,Data Deficient
Psydrax martini,Least Concern
Psydrax richardsiae,Endangered
Pyrostria chapmanii,Endangered
Tapiphyllum velutinum,Least Concern
Tarenna luteola,Least Concern
Vangueria glabrata,Data Deficient
Vangueria parvifolia,Least Concern
Citropsis angolensis,Data Deficient
Citropsis noldeae,Data Deficient
Vepris myrei,Endangered
Vepris noldeae,Data Deficient
Vepris welwitschii,Near Threatened
Vepris zambesiaca,Least Concern
Zanthoxylum ovatifoliolatum,Least Concern
Deinbollia gossweileri,Data Deficient
Eriocoelum rivulare,Data Deficient
Vepris bachmannii,Least Concern
Allophylus chaunostachys,Least Concern
Lonchocarpus phlebophyllus,Least Concern
Lonchocarpus phaseolifolius,Least Concern
Piscidia grandifolia,Least Concern
Anaxagorea guatemalensis,Least Concern
Cedrela tonduzii,Least Concern
Chiranthodendron pentadactylon,Least Concern
Cordia prunifolia,Least Concern
Cordia stenoclada,Least Concern
Erblichia odorata,Least Concern
Hyperbaena mexicana,Least Concern
Inga cookii,Least Concern
Montanoa guatemalensis,Least Concern
Zygia cognata,Least Concern
Pseudomalmea wingfieldii,Data Deficient
Pseudomalmea darienensis,Data Deficient
Pseudomalmea diclina,Least Concern
Saurauia rusbyi,Vulnerable
Saurauia spectabilis,Near Threatened
Cardenasiodendron brachypterum,Near Threatened
Aspidosperma resonans,Vulnerable
Ilex pseudoebenacea,Vulnerable
Dendropanax oblongifolius,Vulnerable
Critoniopsis choquetangensis,Endangered
Dendrophorbium tabacifolium,Vulnerable
Cordia oliveri,Data Deficient
Styloceras columnare,Endangered
Styloceras connatum,Endangered
Weberbauerocereus madidiensis,Endangered
Kielmeyera paniculata,Near Threatened
Hirtella beckii,Critically Endangered
Clethra cardenasii,Near Threatened
Clethra elongata,Near Threatened
Clusia elongata,Near Threatened
Clusia pachamamae,Near Threatened
Clusia ternstroemioides,Endangered
Weinmannia davidsonii,Vulnerable
Escallonia reticulata,Vulnerable
Croton abutilifolius,Vulnerable
Croton erythrochyloides,Endangered
Pseudalbizzia coripatensis,Vulnerable
Calliandra haematocephala,Least Concern
Cojoba beckii,Data Deficient
Inga expansa,Least Concern
Inga steinbachii,Least Concern
Boliviadendron bolivianum,Endangered
Mimosa woodii,Endangered
Myrocarpus emarginatus,Endangered
Ormosia larecajana,Endangered
Pseudosenegalia riograndensis,Endangered
Macrocarpaea bangiana,Vulnerable
Macrocarpaea cinchonifolia,Vulnerable
Macrocarpaea cochabambensis,Vulnerable
Macrocarpaea fuentesii,Endangered
Symbolanthus australis,Vulnerable
Vismia crassa,Least Concern
Casimirella beckii,Endangered
Aegiphila buchtienii,Vulnerable
Lepechinia lancifolia,Least Concern
Ocotea micrantha,Endangered
Ocotea stenophylla,Endangered
Persea bilocularis,Endangered
Persea buchtienii,Vulnerable
Rhodostemonodaphne longiflora,Endangered
Luehea herzogiana,Endangered
Luehea steinbachii,Vulnerable
Bellucia gracilis,Vulnerable
Henriettea boliviensis,Vulnerable
Meriania axinaeoides,Vulnerable
Meriania boliviensis,Endangered
Meriania brittoniana,Least Concern
Meriania pulcherrima,Endangered
Miconia amabilis,Vulnerable
Miconia biacuta,Endangered
Miconia boliviensis,Least Concern
Miconia brittonii,Near Threatened
Miconia galeiformis,Critically Endangered
Miconia glomerulifera,Endangered
Miconia incachacana,Vulnerable
Miconia mandonii,Vulnerable
Miconia neei,Vulnerable
Miconia quadrialata,Endangered
Mollinedia steinbachiana,Vulnerable
Ficus chaparensis,Critically Endangered
Pseudolmedia boliviana,Endangered
Eugenia krukoffiana,Critically Endangered
Eugenia mandonii,Critically Endangered
Pisonia indecora,Critically Endangered
Ouratea werdermannii,Endangered
