scientificName,redlistCategory
Impatiens simbiniensis,Critically Endangered
Coffea schliebenii,Vulnerable
Saintpaulia goetzeana,Endangered
Ethulia faulknerae,Endangered
Clematis dolichopoda,Least Concern
Gymnosporia harveyana,Least Concern
Momordica glabra,Endangered
Begonia schliebenii,Data Deficient
Impatiens confusa,Least Concern
Clerodendrum hildebrandtii,Least Concern
Diospyros occulta,Vulnerable
Ehretia bakeri,Least Concern
Emilia bellioides,Vulnerable
Meineckia grandiflora,Critically Endangered
Ethulia angustifolia,Vulnerable
Vernonia zanzibarensis,Least Concern
Emilia ukingensis,Endangered
Nectaropetalum acuminatum,Critically Endangered
Impatiens polhillii,Endangered
Cyathula coriacea,Vulnerable
Euphorbia syncalycina,Critically Endangered
Meineckia uzungwaensis,Least Concern
Strophanthus hypoleucos,Vulnerable
Streptocarpus kungwensis,Vulnerable
Vernonia schliebenii,Endangered
Protea rubrobracteata,Vulnerable
Commiphora holtziana,Least Concern
Cordia faulknerae,Near Threatened
Streptocarpus compressus,Vulnerable
Impatiens elachistocentra,Endangered
Stephanostema stenocarpum,Critically Endangered
Gutenbergia pembensis,Vulnerable
Solanecio epidendricus,Endangered
Cucumis globosus,Least Concern
Campylospermum lutambense,Endangered
Impatiens saliensis,Critically Endangered
Heliotropium gorinii,Least Concern
Streptocarpus albus,Endangered
Saintpaulia ionantha,Near Threatened
Vernonia bruceae,Endangered
Grauanthus linearifolius,Endangered
Oxygonum leptopus,Data Deficient
Gutenbergia oppositifolia,Critically Endangered
Bidens fischeri,Vulnerable
Impatiens cinnabarina,Critically Endangered
Bourreria teitensis,Least Concern
Premna chrysoclada,Least Concern
Senecio subfractiflexus,Endangered
Ochna schliebenii,Critically Endangered
Solanecio mirabilis,Endangered
Impatiens usambarensis,Endangered
Gynura colorata,Endangered
Begonia zimmermannii,Critically Endangered
Impatiens pseudohamata,Vulnerable
Premna resinosa,Least Concern
Dalechampia scandens,Least Concern
Diplocyclos tenuis,Vulnerable
Athroisma pusillum,Vulnerable
Ochna monantha,Data Deficient
Impatiens thamnoidea,Endangered
Emilia kilwensis,Least Concern
Streptocarpus kirkii,Least Concern
Cassipourea euryoides,Least Concern
Impatiens lukwangulensis,Endangered
Impatiens barbulata,Endangered
Plumbago stenophylla,Critically Endangered
Hugonia grandiflora,Endangered
Sphaeranthus cristatus,Critically Endangered
Bidens holstii,Least Concern
Rubus keniensis,Least Concern
Phyllanthus maderaspatensis,Least Concern
Elaeodendron schweinfurthianum,Least Concern
Meineckia nguruensis,Vulnerable
Euphorbia neovirgata,Vulnerable
Momordica leiocarpa,Vulnerable
Aristogeitonia magnistipula,Critically Endangered
Vernonia muelleri,Least Concern
Entada stuhlmannii,Least Concern
Impatiens uzungwaensis,Critically Endangered
Impatiens raphidothrix,Least Concern
Campylospermum sacleuxii,Vulnerable
Streptocarpus holstii,Vulnerable
Senegalia taylorii,Endangered
Mostuea microphylla,Near Threatened
Rauvolfia volkensii,Vulnerable
Streptocarpus bullatus,Endangered
Impatiens ulugurensis,Vulnerable
Vismianthus punctatus,Vulnerable
Ancylobothrys tayloris,Least Concern
Ochna braunii,Critically Endangered
Saintpaulia pusilla,Vulnerable
Meineckia ovata,Critically Endangered
Ludwigia speciosa,Near Threatened
Impatiens volkensii,Vulnerable
Streptocarpus gonjaensis,Endangered
Emilia crispata,Endangered
